cat1	20211721
cat2	20213058
cat3	20211722
cat4	20233070
cat5	20233072
cat6	20211726
cat7	20231758
cat8	20230544
cat9	20221789
cat10	20233079
cat11	20231759
cat12	20190497
cat13	20223517
cat14	20233086
cat15	20213605
cat16	20231765
cat17	20233093
cat18	20231768
cat19	20213074
cat20	20213606
cat21	20213607
cat22	20231771
cat23	20230290
cat24	20233096
cat25	20211736
cat26	20213079
cat27	20211737
cat28	20213082
cat29	20231776
cat30	20213085
cat31	20230294
cat32	20233105
cat33	20233108
cat34	20233109
cat35	20233113
cat36	20231782
cat37	20231783
cat38	20223525
cat39	20211182
cat40	20223098
cat41	20231784
cat42	20211748
cat43	20213097
cat44	20192935
cat45	20213099
cat46	20231786
cat47	20211752
cat48	20223528
cat49	20213101
